resp_time,stress_level,sleep_hour,sleep_rate,exercise,Social2,working,relaxing,social_number,anxious,calm,disorganized,enthusiastic,critical,conventional
2013-04-03,0.5,6.0,2.0,1.0,2.0,2.4285714285714284,1.4285714285714286,2.0,2.0,3.7142857142857144,1.4285714285714286,2.7142857142857144,1.1428571428571428,2.7142857142857144
2013-04-05,1.5,5.0,3.0,1.0,2.0,2.4285714285714284,1.4285714285714286,4.0,2.0,3.7142857142857144,1.4285714285714286,2.7142857142857144,1.1428571428571428,2.7142857142857144
2013-04-13,1.0,7.0,2.0,1.0,1.875,4.0,1.0,3.0,4.0,4.0,2.0,3.0,2.0,2.0
2013-04-19,1.0,6.0,3.0,1.5,1.875,3.0,1.0,3.0,1.0,4.0,1.0,2.6666666666666665,1.0,3.3333333333333335
